OID_;Codigo;Municipio;Total;Mas65;Porcentaje
808;1009;Asparrena;1633;328;20,08573178
809;3019;Aspe;21088;3655;17,33213202
810;20014;Asteasu;1549;269;17,36604261
811;20903;Astigarraga;7185;860;11,96938065
812;39008;Astillero, El;18116;3325;18,35394127
813;24008;Astorga;10553;2969;28,13417985
814;34017;Astudillo;1021;356;34,86777669
815;49017;Asturianos;260;123;47,30769231
816;29021;Atajate;179;48;26,81564246
817;6013;Atalaya;288;83;28,81944444
818;16026;Atalaya del Cañavate;103;35;33,98058252
819;37037;Atalaya, La;108;44;40,74074074
820;19043;Atanzón;100;57;57
821;9029;Atapuerca;182;52;28,57142857
822;47011;Ataquines;564;186;32,9787234
823;18022;Atarfe;19198;2353;12,25648505
824;20015;Ataun;1697;387;22,80494991
825;28016;Atazar, El;109;22;20,18348624
826;50037;Atea;149;55;36,91275168
827;50038;Ateca;1729;508;29,38114517
828;31040;Atez/Atetz;221;58;26,24434389
829;19044;Atienza;395;106;26,83544304
830;48091;Atxondo;1366;331;24,23133236
831;46003;Atzeneta d'Albaida;1139;262;23,00263389
832;12001;Atzeneta del Maestrat;1292;410;31,73374613
833;3001;Atzúbia, l';609;208;34,1543514
834;48070;Aulesti;646;182;28,17337461
835;19045;Auñón;140;76;54,28571429
836;31058;Auritz/Burguete;228;60;26,31578947
837;26020;Ausejo;780;183;23,46153846
838;42028;Ausejo de la Sierra;91;23;25,27472527
839;9030;Ausines, Los;131;55;41,98473282
840;34018;Autilla del Pino;217;67;30,87557604
841;34019;Autillo de Campos;132;44;33,33333333
842;26021;Autol;4702;816;17,35431731
843;5017;Aveinte;82;32;39,02439024
844;5018;Avellaneda;26;6;23,07692308
845;25037;Avellanes i Santa Linya, Les;447;149;33,33333333
846;9032;Avellanosa de Muñó;103;42;40,77669903
847;8011;Avià;2199;463;21,05502501
848;5019;Ávila;57949;11891;20,51976738
849;33004;Avilés;76874;20007;26,0257044
850;8012;Avinyó;2286;499;21,82852143
851;17012;Avinyonet de Puigventós;1657;196;11,82860591
852;8013;Avinyonet del Penedès;1701;345;20,28218695
853;32004;Avión;1738;893;51,38089758
854;1010;Ayala/Aiara;2951;530;17,96001355
855;21010;Ayamonte;21510;3653;16,9827987
856;31041;Ayegui/Aiegi;2430;295;12,1399177
857;22039;Ayerbe;1028;307;29,86381323
858;40024;Ayllón;1153;247;21,42237641
859;2011;Ayna;582;259;44,50171821
860;12017;Ayódar;158;66;41,7721519
861;49018;Ayoó de Vidriales;287;163;56,79442509
862;46044;Ayora;5215;1238;23,73921381
863;34020;Ayuela;54;22;40,74074074
864;31042;Azagra;3781;743;19,65088601
865;44031;Azaila;100;39;39
866;22040;Azanuy-Alins;177;61;34,46327684
867;22041;Azara;162;56;34,56790123
868;20017;Azkoitia;11657;2309;19,80784078
869;22042;Azlor;148;44;29,72972973
870;41012;Aznalcázar;4614;736;15,9514521
871;41013;Aznalcóllar;6060;1009;16,65016502
872;26022;Azofra;225;77;34,22222222
873;20018;Azpeitia;15191;3238;21,31525245
874;6014;Azuaga;7702;1819;23,61724227
875;50039;Azuara;544;158;29,04411765
876;12018;Azuébar;319;92;28,84012539
877;31043;Azuelo;27;16;59,25925926
878;19046;Azuqueca de Henares;35236;4099;11,63298899
879;45017;Azután;303;112;36,96369637
880;37038;Babilafuente;932;210;22,53218884
881;4019;Bacares;249;100;40,16064257
882;6015;Badajoz;150610;26153;17,36471682
883;8015;Badalona;223006;42967;19,2671946
884;26023;Badarán;502;182;36,25498008
885;44032;Bádenas;18;4;22,22222222
886;8904;Badia del Vallès;13228;2844;21,49984881
887;41014;Badolatosa;3099;476;15,35979348
888;50040;Badules;70;31;44,28571429
889;22043;Baélls;94;44;46,80851064
890;14007;Baena;18885;3313;17,54302356
891;23009;Baeza;15762;2776;17,61197818
892;8016;Bagà;2145;580;27,03962704
893;44033;Báguena;278;112;40,28776978
894;50041;Bagüés;16;5;31,25
895;47012;Bahabón;98;43;43,87755102
896;9033;Bahabón de Esgueva;80;30;37,5
897;19047;Baides;63;19;30,15873016
898;23010;Bailén;17498;2877;16,44187907
899;22044;Bailo;263;79;30,03802281
900;36003;Baiona;12286;2715;22,09832329
901;25039;Baix Pallars;342;87;25,43859649
902;31044;Bakaiku;353;100;28,3286119
903;48012;Bakio;2775;506;18,23423423
904;25040;Balaguer;17409;3050;17,51967373
905;4904;Balanegra;2959;340;11,49036837
906;2012;Balazote;2363;427;18,07024968
907;9034;Balbases, Los;321;134;41,74454829
908;24009;Balboa;287;132;45,99303136
909;50042;Balconchán;19;8;42,10526316
910;22045;Baldellou;71;29;40,84507042
911;27004;Baleira;1190;478;40,16806723
912;8017;Balenyà;3900;666;17,07692308
913;20904;Baliarrain;153;18;11,76470588
914;2014;Ballestero, El;413;126;30,50847458
915;13022;Ballesteros de Calatrava;370;118;31,89189189
916;22046;Ballobar;849;261;30,74204947
917;48090;Balmaseda;7651;1811;23,67010848
918;3020;Balones;134;42;31,34328358
919;2013;Balsa de Ves;129;48;37,20930233
920;8018;Balsareny;3278;743;22,66625991
921;34022;Baltanás;1219;396;32,48564397
922;32005;Baltar;919;392;42,65505985
923;22047;Banastás;327;65;19,87767584
924;32006;Bande;1490;730;48,99328859
925;7007;Banyalbufar;542;141;26,01476015
926;3021;Banyeres de Mariola;7113;1514;21,28497118
927;43020;Banyeres del Penedès;3280;559;17,04268293
928;17015;Banyoles;20168;3525;17,47818326
929;15007;Baña, A;3389;1327;39,15609324
930;26024;Bañares;220;94;42,72727273
931;24010;Bañeza, La;10068;2304;22,88438617
932;37039;Bañobárez;287;113;39,3728223
933;44034;Bañón;149;52;34,89932886
934;1011;Baños de Ebro/Mañueta;287;78;27,17770035
935;23011;Baños de la Encina;2596;556;21,41756549
936;32007;Baños de Molgas;1483;675;45,51584626
937;10024;Baños de Montemayor;749;243;32,44325768
938;26026;Baños de Río Tobía;1583;397;25,07896399
939;26025;Baños de Rioja;84;33;39,28571429
940;19048;Baños de Tajo;21;9;42,85714286
941;9035;Baños de Valdearados;322;108;33,54037267
942;19049;Bañuelos;13;3;23,07692308
943;9036;Bañuelos de Bureba;31;7;22,58064516
944;34024;Baquerín de Campos;26;7;26,92307692
945;16027;Barajas de Melo;1005;242;24,07960199
946;48013;Barakaldo;100907;23512;23,30066299
947;27901;Baralla;2445;949;38,81390593
948;31901;Barañáin/Barañain;19853;4398;22,15282325
949;42029;Baraona;127;55;43,30708661
950;31045;Barásoain;613;116;18,9233279
951;32008;Barbadás;11022;2031;18,4267828
952;37040;Barbadillo;402;117;29,10447761
953;9037;Barbadillo de Herreros;112;47;41,96428571
954;9038;Barbadillo del Mercado;144;51;35,41666667
955;9039;Barbadillo del Pez;65;22;33,84615385
956;37041;Barbalos;74;33;44,59459459
957;31046;Barbarin;48;16;33,33333333
958;22048;Barbastro;17146;3583;20,89700222
959;11007;Barbate;22761;3828;16,81824173
960;25041;Barbens;943;216;22,90562036
961;43021;Barberà de la Conca;472;113;23,94067797
962;8252;Barberà del Vallès;33016;5828;17,65204749
963;50043;Bárboles;297;77;25,92592593
964;40025;Barbolla;139;48;34,5323741
965;22049;Barbués;91;23;25,27472527
